desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Name[zh_CN],GenericName[zh_CN],Comment[zh_CN],Name,Name[zh_HK],GenericName[zh_HK],Comment[zh_HK],Categories
fotowall.desktop,多圖合併_Fotowall,Fotowall 可以讓你輕鬆的將多張圖片進行各種套用與設計,多圖合併_Fotowall,多图合并_Fotowall,Fotowall可以让你轻松的将多张图片进行各种套用与设计,多图合并_Fotowall,PicEditor_Fotowall,多圖合併_Fotowall,Fotowall 可以讓你輕鬆的將多張圖片進行各種套用與設計,多圖合併_Fotowall,Graphics;
expoblending.desktop,曝光混合_Expo blending,將曝光影像進行混合,曝光混合_Expo blending,曝光混合_Expoblending,将曝光影像进行混合,曝光混合_Expoblending,PicBlending_Expo blending,曝光混合_Expo blending,將曝光影像進行混合,曝光混合_Expo blending,Graphics;
photolayoutseditor.desktop,相片佈局_Photo layouts editor,建立美觀與專業的相片佈局,相片佈局_Photo layouts editor,相片布局_Photolayoutseditor,创建美观与专业的相片布局,相片布局_Photolayoutseditor,PicLayout_Photo layouts editor,相片佈局_Photo layouts editor,建立美觀與專業的相片佈局,相片佈局_Photo layouts editor,Graphics;
panoramagui.desktop,全景圖_Panoram,簡單易用的全景圖製作軟體,全景圖_Panoram,全景图_Panoram,简单易用的全景图制作软件,全景图_Panoram,Panorama_Panoram,全景圖_Panoram,簡單易用的全景圖製作軟體,全景圖_Panoram,Graphics;
hugin.desktop,全景圖_Hugin panorama creator,全景圖合併與編輯軟體，可以將多張照片合併成全景圖及進行美編,全景圖_Hugin panorama creator,全景图_Huginpanoramacreator,全景图合并与编辑软件，可以将多张照片合并成全景图及进行美编,全景图_Huginpanoramacreator,Panorama_Hugin panorama creator,全景圖_Hugin panorama creator,全景圖合併與編輯軟體，可以將多張照片合併成全景圖及進行美編,全景圖_Hugin panorama creator,Graphics;
PTBatcherGUI.desktop,全景圖_Hugin Batch Processor,全景圖批次處理工具，可以輕易的將多張照片合併成全景圖,全景圖_Hugin Batch Processor,全景图_HuginBatchProcessor,全景图批次处理工具，可以轻易的将多张照片合并成全景图,全景图_HuginBatchProcessor,Panorama_Hugin Batch Processor,全景圖_Hugin Batch Processor,全景圖批次處理工具，可以輕易的將多張照片合併成全景圖,全景圖_Hugin Batch Processor,Graphics;
calibrate_lens_gui.desktop,全景圖_Calibrate,全景圖合併與編輯軟體，可以將多張照片合併成全景圖及進行美編,全景圖_Calibrate,全景图_Calibrate,全景图合并与编辑软件，可以将多张照片合并成全景图及进行美编,全景图_Calibrate,Panorama_Calibrate,全景圖_Calibrate,全景圖合併與編輯軟體，可以將多張照片合併成全景圖及進行美編,全景圖_Calibrate,Graphics;
ktoon.desktop,2D動畫_KToon,能讓您使用點陣圖創造傳統的動畫,2D動畫_KToon,2D动画_KToon,能让您使用位图创造传统的动画,2D动画_KToon,2DAnimation_KToon,2D動畫_KToon,能讓您使用點陣圖創造傳統的動畫,2D動畫_KToon,Graphics;
blender.desktop,3D動畫_Blender,3D 模型建置與動畫設計軟體，媲美時下商業版的 3D 動畫軟體,3D動畫_Blender,3D动画_Blender,3D模型建置与动画设计软件，媲美时下商业版的3D动画软件,3D动画_Blender,3DAnimation_Blender,3D動畫_Blender,3D 模型建置與動畫設計軟體，媲美時下商業版的 3D 動畫軟體,3D動畫_Blender,Graphics;
sweethome3d.desktop,室內設計_SweetHome3D,室內設計用的3D 模型軟體，不僅專業設計人員可以使用，對一般人而言也是一個極易上手的室內設計工具,室內設計_SweetHome3D,室内设计_SweetHome3D,室内设计用的3D模型软件，不仅专业设计人员可以使用，对一般人而言也是一个极易上手的室内设计工具,室内设计_SweetHome3D,InteriorDesign_SweetHome3D,室內設計_SweetHome3D,室內設計用的3D 模型軟體，不僅專業設計人員可以使用，對一般人而言也是一個極易上手的室內設計工具,室內設計_SweetHome3D,Graphics;
kruler.desktop,螢幕尺規_KRuler,可以直接在螢幕上丈量的螢幕尺規,螢幕尺規_KRuler,屏幕尺规_KRuler,可以直接在屏幕上丈量的屏幕尺规,屏幕尺规_KRuler,ScreenRuler_KRuler,螢幕尺規_KRuler,可以直接在螢幕上丈量的螢幕尺規,螢幕尺規_KRuler,Graphics;
org.kde.kruler.desktop,螢幕尺規_KRuler,可以直接在螢幕上丈量的螢幕尺規,螢幕尺規_KRuler,屏幕尺规_KRuler,可以直接在屏幕上丈量的屏幕尺规,屏幕尺规_KRuler,ScreenRuler_KRuler,螢幕尺規_KRuler,可以直接在螢幕上丈量的螢幕尺規,螢幕尺規_KRuler,Graphics;
scangui.desktop,影像掃描_Scan GUI,使用平台式掃描器擷取影像的工具,影像掃描_Scan GUI,影像扫描_ScanGUI,使用平台式扫描器捕获影像的工具,影像扫描_ScanGUI,Scanning_Scan GUI,影像掃描_Scan GUI,使用平台式掃描器擷取影像的工具,影像掃描_Scan GUI,Graphics;
ksnapshot.desktop,影像擷取_KSnapshot,多功能的影像擷取工具，可直接按鍵盤上的〔Print Screen〕鍵執行此功能,影像擷取_KSnapshot,影像撷取_KSnapshot,多功能的影像捕获工具，可直接按键盘上的〔PrintScreen〕键执行此功能,影像撷取_KSnapshot,Screenshot_KSnapshot,影像擷取_KSnapshot,多功能的影像擷取工具，可直接按鍵盤上的〔Print Screen〕鍵執行此功能,影像擷取_KSnapshot,Graphics;
org.kde.spectacle.desktop,影像擷取_KSpectacle,多功能的影像擷取工具,影像擷取_KSpectacle,影像撷取_KSpectacle,多功能的影像捕获工具,影像撷取_KSpectacle,Screenshot_KSpectacle,影像擷取_KSpectacle,多功能的影像擷取工具,影像擷取_KSpectacle,Graphics;
kcolorchooser.desktop,顏色選擇_KColorChooser,用來點選螢幕上的顏色,顏色選擇_KColorChooser,颜色选择_KColorChooser,用来点选屏幕上的颜色,颜色选择_KColorChooser,ColorChooser_KColorChooser,顏色選擇_KColorChooser,用來點選螢幕上的顏色,顏色選擇_KColorChooser,Graphics;
org.kde.kcolorchooser.desktop,顏色選擇_KColorChooser,用來點選螢幕上的顏色,顏色選擇_KColorChooser,颜色选择_KColorChooser,用来点选屏幕上的颜色,颜色选择_KColorChooser,ColorChooser_KColorChooser,顏色選擇_KColorChooser,用來點選螢幕上的顏色,顏色選擇_KColorChooser,Graphics;
dngconverter.desktop,RAW批次轉檔_dngconverter,批次將 RAW 檔案轉成 DNG 檔案的軟體,RAW批次轉檔_dngconverter,RAW批次转档_dngconverter,批次将RAW文件转成DNG文件的软件,RAW批次转档_dngconverter,DNGConverter_dngconverter,RAW批次轉檔_dngconverter,批次將 RAW 檔案轉成 DNG 檔案的軟體,RAW批次轉檔_dngconverter,Graphics;
freecad.desktop,3D製圖_FreeCAD,電腦輔助設計軟體,3D製圖_FreeCAD,3D制图_FreeCAD,计算机辅助设计软件,3D制图_FreeCAD,3DCAD_FreeCAD,3D製圖_FreeCAD,電腦輔助設計軟體,3D製圖_FreeCAD,Graphics;
librecad.desktop,2D製圖_LibreCAD,電腦輔助設計軟體,2D製圖_LibreCAD,2D制图_LibreCAD,计算机辅助设计软件,2D制图_LibreCAD,2DCAD_LibreCAD,2D製圖_LibreCAD,電腦輔助設計軟體,2D製圖_LibreCAD,Graphics;
shutter.desktop,影像擷取_Shutter,可截取網頁和編輯截取圖片的軟體,影像擷取_Shutter,影像撷取_Shutter,可截取网页和编辑截取图片的软件,影像撷取_Shutter,Screenshot_Shutter,影像擷取_Shutter,可截取網頁和編輯截取圖片的軟體,影像擷取_Shutter,Graphics;
fontforge.desktop,字型設計_Fontforge,可以編輯與設計字型的軟體,字型設計_Fontforge,字型設計_Fontforge,可以編輯與設計字型的軟體,字型設計_Fontforge,FontEditor_Fontforge,字型設計_Fontforge,可以編輯與設計字型的軟體,字型設計_Fontforge,Graphics;
#影音,,,,,,,,,,,
qstopmotion.desktop,影片動畫_qStopMotion,影片動畫製作軟體,影片動畫_qStopMotion,影片动画_qStopMotion,影片动画制作软件,影片动画_qStopMotion,Animation_qStopMotion,影片動畫_qStopMotion,影片動畫製作軟體,影片動畫_qStopMotion,AudioVideo;
avidemux2.6-qt.desktop,影片編輯_Avidemux(Qt),影片編輯程式,影片編輯_Avidemux(Qt),影片编辑_Avidemux(Qt),影片编辑器,影片编辑_Avidemux(Qt),VideoEditing_Avidemux(Qt),影片編輯_Avidemux(Qt),影片編輯程式,影片編輯_Avidemux(Qt),AudioVideo;
avidemux2.6-jobs.desktop,影片編輯_Avidemux(Jobs),影片編輯程式,影片編輯_Avidemux(Jobs),影片编辑_Avidemux(Jobs),影片编辑器,影片编辑_Avidemux(Jobs),VideoEditing_Avidemux(Jobs),影片編輯_Avidemux(Jobs),影片編輯程式,影片編輯_Avidemux(Jobs),AudioVideo;
avidemux2.6-gtk.desktop,影片編輯_Avidemux(Gtk),影片編輯程式,影片編輯_Avidemux(Gtk),影片编辑_Avidemux(Gtk),影片编辑器,影片编辑_Avidemux(Gtk),VideoEditing_Avidemux(Gtk),影片編輯_Avidemux(Gtk),影片編輯程式,影片編輯_Avidemux(Gtk),AudioVideo;
ffDiaporama.desktop,投影片秀_ffDiaporama,投影片、圖片與影片展示軟體,投影片秀_ffDiaporama,投影片秀_ffDiaporama,投影片、图片与影片展示软件,投影片秀_ffDiaporama,Presentation_ffDiaporama,投影片秀_ffDiaporama,投影片、圖片與影片展示軟體,投影片秀_ffDiaporama,AudioVideo;
xbmc.desktop,多媒體中心_XBMC,一套超炫的多媒體播放中心，不論圖片影片皆可播放,多媒體中心_XBMC,多媒体中心_XBMC,一套超炫的多媒体播放中心，不论图片影片皆可播放,多媒体中心_XBMC,Multimedia_XBMC,多媒體中心_XBMC,一套超炫的多媒體播放中心，不論圖片影片皆可播放,多媒體中心_XBMC,AudioVideo;
vlc.desktop,影音播放_VLC,可以用於網路串流及各種多媒體檔案之播放,影音播放_VLC,影音播放_VLC,可以用于网络流及各种多媒体文件之播放,影音播放_VLC,VideoPlayer_VLC,影音播放_VLC,可以用於網路串流及各種多媒體檔案之播放,影音播放_VLC,AudioVideo;
smplayer.desktop,影音播放_SMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_SMPlayer,影音播放_SMPlayer,以MPlayer为基础的多媒体播放器，具完整的用户界面,影音播放_SMPlayer,VideoPlayer_SMPlayer,影音播放_SMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_SMPlayer,AudioVideo;
umplayer.desktop,影音播放_UMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_UMPlayer,影音播放_UMPlayer,以MPlayer为基础的多媒体播放器，具完整的用户界面,影音播放_UMPlayer,VideoPlayer_UMPlayer,影音播放_UMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_UMPlayer,AudioVideo;
# gnome-mplayer.desktop: 20141107 added by Franklin:,,,,,,,,,,,
gnome-mplayer.desktop,影音播放_GnomeMplayer,以 MPlayer 為基礎的多媒體播放器,影音播放_GnomeMplayer,影音播放_GnomeMplayer,以Mplayer为基础的多媒体播放器,影音播放_GnomeMplayer,VideoPlayer_GnomeMplayer,影音播放_GnomeMplayer,以 MPlayer 為基礎的多媒體播放器,影音播放_GnomeMplayer,AudioVideo;
dragonplayer.desktop,影音播放_DragonPlayer,可以用於網路串流及各種多媒體檔案之播放,影音播放_DragonPlayer,影音播放_DragonPlayer,可以用于网络流及各种多媒体文件之播放,影音播放_DragonPlayer,VideoPlayer_DragonPlayer,影音播放_DragonPlayer,可以用於網路串流及各種多媒體檔案之播放,影音播放_DragonPlayer,AudioVideo;
org.kde.dragonplayer.desktop,影音播放_DragonPlayer,可以用於網路串流及各種多媒體檔案之播放,影音播放_DragonPlayer,影音播放_DragonPlayer,可以用于网络流及各种多媒体文件之播放,影音播放_DragonPlayer,VideoPlayer_DragonPlayer,影音播放_DragonPlayer,可以用於網路串流及各種多媒體檔案之播放,影音播放_DragonPlayer,AudioVideo;
totem.desktop,影音播放_Totem,可以用於網路串流及各種多媒體檔案之播放,影音播放_Totem,影音播放_Totem,可以用于网络流及各种多媒体文件之播放,影音播放_Totem,VideoPlayer_Totem,影音播放_Totem,可以用於網路串流及各種多媒體檔案之播放,影音播放_Totem,AudioVideo;
xine.desktop,影音播放_xine,影音播放軟體,影音播放_xine,影音播放_xine,影音播放软件,影音播放_xine,VideoPlayer_xine,影音播放_xine,影音播放軟體,影音播放_xine,AudioVideo;
Kino.desktop,影片編輯_Kino,簡單易用的影片編輯軟體,影片編輯_Kino,影片编辑_Kino,简单易用的影片编辑软件,影片编辑_Kino,VideoEditing_Kino,影片編輯_Kino,簡單易用的影片編輯軟體,影片編輯_Kino,AudioVideo;
pitivi.desktop,影片編輯_Pitivi,簡單易用的影片編輯軟體,影片編輯_Pitivi,影片编辑_Pitivi,简单易用的影片编辑软件,影片编辑_Pitivi,VideoEditing_Pitivi,影片編輯_Pitivi,簡單易用的影片編輯軟體,影片編輯_Pitivi,AudioVideo;
openshot.desktop,影片編輯_OpenShot,OpenShot 是 Linux 下常用的非線性影片剪輯軟體,影片編輯_OpenShot,影片编辑_OpenShot,OpenShot是Linux下常用的非线性影片剪辑软件,影片编辑_OpenShot,VideoEditing_OpenShot,影片編輯_OpenShot,OpenShot 是 Linux 下常用的非線性影片剪輯軟體,影片編輯_OpenShot,AudioVideo;
openshot-qt.desktop,影片編輯_OpenShot2,OpenShot 是 Linux 下常用的非線性影片剪輯軟體,影片編輯_OpenShot2,影片编辑_OpenShot2,OpenShot是Linux下常用的非线性影片剪辑软件,影片编辑_OpenShot2,VideoEditing_OpenShot2,影片編輯_OpenShot2,OpenShot 是 Linux 下常用的非線性影片剪輯軟體,影片編輯_OpenShot2,AudioVideo;
kdenlive.desktop,影片編輯_Kdenlive,Kdenlive 是 Linux 下非常專業完整的非線性影片編輯軟體,影片編輯_Kdenlive,影片编辑_Kdenlive,Kdenlive是Linux下非常专业完整的非线性影片编辑软件,影片编辑_Kdenlive,VideoEditing_Kdenlive,影片編輯_Kdenlive,Kdenlive 是 Linux 下非常專業完整的非線性影片編輯軟體,影片編輯_Kdenlive,AudioVideo;
org.kde.kdenlive.desktop,影片編輯_Kdenlive,Kdenlive 是 Linux 下非常專業完整的非線性影片編輯軟體,影片編輯_Kdenlive,影片编辑_Kdenlive,Kdenlive是Linux下非常专业完整的非线性影片编辑软件,影片编辑_Kdenlive,VideoEditing_Kdenlive,影片編輯_Kdenlive,Kdenlive 是 Linux 下非常專業完整的非線性影片編輯軟體,影片編輯_Kdenlive,AudioVideo;
kazam.desktop,桌面錄製_Kazam,一款簡易的桌面畫面錄製工具,桌面錄製_Kazam,桌面录制_Kazam,一款简易的桌面画面录制工具,桌面录制_Kazam,DesktopRecording_Kazam,桌面錄製_Kazam,一款簡易的桌面畫面錄製工具,桌面錄製_Kazam,AudioVideo;
cheese.desktop,視訊擷取_Cheese,透過 Cheese 可以從網路攝影機擷取相片與影片，並加入有趣的影像特效,視訊擷取_Cheese,视频撷取_Cheese,通过Cheese可以从网络摄影机捕获相片与影片，并加入有趣的影像特效,视频撷取_Cheese,VideoCapture_Cheese,視訊擷取_Cheese,透過 Cheese 可以從網路攝影機擷取相片與影片，並加入有趣的影像特效,視訊擷取_Cheese,AudioVideo;
org.gnome.Cheese.desktop,視訊擷取_Cheese,透過 Cheese 可以從網路攝影機擷取相片與影片，並加入有趣的影像特效,視訊擷取_Cheese,视频撷取_Cheese,通过Cheese可以从网络摄影机捕获相片与影片，并加入有趣的影像特效,视频撷取_Cheese,VideoCapture_Cheese,視訊擷取_Cheese,透過 Cheese 可以從網路攝影機擷取相片與影片，並加入有趣的影像特效,視訊擷取_Cheese,AudioVideo;
guvcview.desktop,影像擷取_guvcview,webcam管理程式,影像擷取_guvcview,影像撷取_guvcview,webcam管理程序,影像撷取_guvcview,Screenshot_guvcview,影像擷取_guvcview,webcam管理程式,影像擷取_guvcview,AudioVideo;
imagination.desktop,投影片秀_Imagination,Imagination 可以將相片或圖片輕易的轉成具豐富轉場效果的多媒體投影片秀 ,投影片秀_Imagination,投影片秀_Imagination,Imagination可以将相片或图片轻易的转成具丰富转场效果的多媒体投影片秀,投影片秀_Imagination,Presentation_Imagination,投影片秀_Imagination,Imagination 可以將相片或圖片輕易的轉成具豐富轉場效果的多媒體投影片秀 ,投影片秀_Imagination,AudioVideo;
photofilmstrip.desktop,投影片秀_Photo Film Strip,讓你輕鬆製作出圖片跑馬燈及多媒體投影片秀的軟體,投影片秀_Photo Film Strip,投影片秀_PhotoFilmStrip,让你轻松制作出图片跑马灯及多媒体投影片秀的软件,投影片秀_PhotoFilmStrip,Presentation_Photo Film Strip,投影片秀_Photo Film Strip,讓你輕鬆製作出圖片跑馬燈及多媒體投影片秀的軟體,投影片秀_Photo Film Strip,AudioVideo;
k3b.desktop,光碟燒錄_K3b,Linux 下常用的光碟燒錄工具 ,光碟燒錄_K3b,光盘刻录_K3b,Linux下常用的光盘烧录工具,光盘烧录_K3b,CDBurning_K3b,光碟燒錄_K3b,Linux 下常用的光碟燒錄工具 ,光碟燒錄_K3b,AudioVideo;
org.kde.k3b.desktop,光碟燒錄_K3b,Linux 下常用的光碟燒錄工具 ,光碟燒錄_K3b,光盘刻录_K3b,Linux下常用的光盘烧录工具,光盘烧录_K3b,CDBurning_K3b,光碟燒錄_K3b,Linux 下常用的光碟燒錄工具 ,光碟燒錄_K3b,AudioVideo;
# xfburn.desktop: 20141107 added by Franklin,,,,,,,,,,,
xfburn.desktop,光碟燒錄_Xfburn,光碟燒錄工具,光碟燒錄_Xfburn,光盘刻录_Xfburn,光盘烧录工具,光盘烧录_Xfburn,CDBurning_Xfburn,光碟燒錄_Xfburn,光碟燒錄工具,光碟燒錄_Xfburn,AudioVideo;
brasero.desktop,光碟燒錄_Brasero,Linux 下常用的光碟燒錄工具,光碟燒錄_Brasero,光盘刻录_Brasero,Linux下常用的光盘烧录工具,光盘烧录_Brasero,CDBurning_Brasero,光碟燒錄_Brasero,Linux 下常用的光碟燒錄工具,光碟燒錄_Brasero,AudioVideo;
acidrip.desktop,光碟擷取_AcidRip,AcidRip 可以輕易的將一般的影片轉成 avi 或 mpeg 檔,光碟擷取_AcidRip,光盘撷取_AcidRip,AcidRip可以轻易的将一般的影片转成avi或mpeg檔,光盘撷取_AcidRip,CDRip_AcidRip,光碟擷取_AcidRip,AcidRip 可以輕易的將一般的影片轉成 avi 或 mpeg 檔,光碟擷取_AcidRip,AudioVideo;
dvdstyler.desktop,光碟製作_DVDstyler,DVD 光碟及選單製作工具,光碟製作_DVDstyler,光盘制作_DVDstyler,DVD光盘及选单制作工具,光盘制作_DVDstyler,DVDStyler_DVDstyler,光碟製作_DVDstyler,DVD 光碟及選單製作工具,光碟製作_DVDstyler,AudioVideo;
dvdisaster.desktop,光碟修復_dvdisaster,對於刮傷或老化的光碟，提供了更好的存取與修復效果,光碟修復_dvdisaster,光盘修复_dvdisaster,对于刮伤或老化的光盘，提供了更好的访问与修复效果,光盘修复_dvdisaster,DVDRecover_dvdisaster,光碟修復_dvdisaster,對於刮傷或老化的光碟，提供了更好的存取與修復效果,光碟修復_dvdisaster,AudioVideo;
audacious.desktop,音樂播放_Audacious,類似 Winamp 的音樂播放器,音樂播放_Audacious,音乐播放_Audacious,类似Winamp的音乐播放器,音乐播放_Audacious,MusicPlayer_Audacious,音樂播放_Audacious,類似 Winamp 的音樂播放器,音樂播放_Audacious,AudioVideo;
amarok.desktop,音樂播放_Amarok,Amarok 一套功能強大的音樂播放與專輯管理軟體,音樂播放_Amarok,音乐播放_Amarok,Amarok一套功能强大的音乐播放与专辑管理软件,音乐播放_Amarok,MusicPlayer_Amarok,音樂播放_Amarok,Amarok 一套功能強大的音樂播放與專輯管理軟體,音樂播放_Amarok,AudioVideo;
rhythmbox.desktop,音樂播放_Rhythmbox,播放及管理音樂庫,音樂播放_Rhythmbox,音乐播放_Rhythmbox,播放及管理音乐库,音乐播放_Rhythmbox,MusicPlayer_Rhythmbox,音樂播放_Rhythmbox,播放及管理音樂庫,音樂播放_Rhythmbox,AudioVideo;
audacity.desktop,音樂編輯_Audacity,Audacity 是一套功能相當完整的音訊編輯軟體，具有剪輯、複製、混音等多項音訊編輯功能,音樂編輯_Audacity,音乐编辑_Audacity,Audacity是一套功能相当完整的音讯编辑软件，具有剪辑、复制、混音等多项音讯编辑功能,音乐编辑_Audacity,MusicEditor_Audacity,音樂編輯_Audacity,Audacity 是一套功能相當完整的音訊編輯軟體，具有剪輯、複製、混音等多項音訊編輯功能,音樂編輯_Audacity,AudioVideo;
tuxguitar.desktop,樂譜編輯_Tuxguitar,可以輸入 Midi 格式及吉他譜檔，並且還可輸出多種音樂格式，以及 PDF 格式的樂譜,樂譜編輯_Tuxguitar,乐谱编辑_Tuxguitar,可以输入Midi格式及吉他谱档，并且还可输出多种音乐格式，以及PDF格式的乐谱,乐谱编辑_Tuxguitar,ScoreEditor_Tuxguitar,樂譜編輯_Tuxguitar,可以輸入 Midi 格式及吉他譜檔，並且還可輸出多種音樂格式，以及 PDF 格式的樂譜,樂譜編輯_Tuxguitar,AudioVideo;
lmms.desktop,音樂製作_LMMS,一款新的音樂製作軟體,音樂製作_LMMS,音乐制作_LMMS,一款新的音乐制作软件,音乐制作_LMMS,Mixer_LMMS,音樂製作_LMMS,一款新的音樂製作軟體,音樂製作_LMMS,AudioVideo;
hydrogen.desktop,節奏編曲_Hydrogen,非常容易上手的爵士電子鼓節奏編曲軟體,節奏編曲_Hydrogen,节奏编曲_Hydrogen,非常容易上手的爵士电子鼓节奏编曲软件,节奏编曲_Hydrogen,DrumEditor_Hydrogen,節奏編曲_Hydrogen,非常容易上手的爵士電子鼓節奏編曲軟體,節奏編曲_Hydrogen,AudioVideo;
mscore.desktop,樂譜編輯_MuseScore,專業的五線譜編輯軟體，可以讓你輕鬆地在軟體內加入音符，並且做即時的結果輸出,樂譜編輯_MuseScore,乐谱编辑_MuseScore,专业的五线谱编辑软件，可以让你轻松地在软件内加入音符，并且做即时的结果输出,乐谱编辑_MuseScore,ScoreEditor_MuseScore,樂譜編輯_MuseScore,專業的五線譜編輯軟體，可以讓你輕鬆地在軟體內加入音符，並且做即時的結果輸出,樂譜編輯_MuseScore,AudioVideo;
rosegarden.desktop,音樂製作_Rosegarden,功能非常強大的專業級音樂製作軟體,音樂製作_Rosegarden,音乐制作_Rosegarden,功能非常强大的专业级音乐制作软件,音乐制作_Rosegarden,Mixer_Rosegarden,音樂製作_Rosegarden,功能非常強大的專業級音樂製作軟體,音樂製作_Rosegarden,AudioVideo;
winff.desktop,影音轉檔_Win_FF,多種格式的影音轉檔工具,影音轉檔_Win_FF,影音转档_Win_FF,多种格式的影音转档工具,影音转档_Win_FF,AVConverter_Win_FF,影音轉檔_Win_FF,多種格式的影音轉檔工具,影音轉檔_Win_FF,AudioVideo;
kmix.desktop,音效調整_KMix,多功能的音效調整工具,音效調整_KMix,音效调整_KMix,多功能的音效调整工具,音效调整_KMix,AudioMixer_KMix,音效調整_KMix,多功能的音效調整工具,音效調整_KMix,AudioVideo;
qjackctl.desktop,音訊控制_QjackCtl,音訊控制與連結服務工具,音訊控制_QjackCtl,音讯控制_QjackCtl,音讯控制与连结服务工具,音讯控制_QjackCtl,AudioControl_QjackCtl,音訊控制_QjackCtl,音訊控制與連結服務工具,音訊控制_QjackCtl,AudioVideo;
ardour.desktop,音訊整合_Ardour GTK2,功能全面的數位音訊整合工具,音訊整合_Ardour GTK2,音讯整合_ArdourGTK2,功能全面的数位音讯整合工具,音讯整合_ArdourGTK2,AudioControl_Ardour GTK2,音訊整合_Ardour GTK2,功能全面的數位音訊整合工具,音訊整合_Ardour GTK2,AudioVideo;
gnome-sound-recorder.desktop,聲音錄製_gnome-sound-recorder,簡易的聲音錄製軟體,聲音錄製_gnome-sound-recorder,声音录制_gnome-sound-recorder,简易的声音录制软件,声音录制_gnome-sound-recorder,SoundRecorder_gnome-sound-recorder,聲音錄製_gnome-sound-recorder,簡易的聲音錄製軟體,聲音錄製_gnome-sound-recorder,AudioVideo;
xvidcap.desktop,影音錄製_XVidCap,可將螢幕上的操作畫面及聲音同步錄製,影音錄製_XVidCap,影音录制_XVidCap,可将屏幕上的操作画面及声音同步录制,影音录制_XVidCap,VideoRecorder_XVidCap,影音錄製_XVidCap,可將螢幕上的操作畫面及聲音同步錄製,影音錄製_XVidCap,AudioVideo;
sound-juicer.desktop,音樂擷取_sound-juicer,可以從音樂光碟中擷取音樂的小工具,音樂擷取_sound-juicer,音乐撷取_sound-juicer,可以从音乐光盘中捕获音乐的小工具,音乐撷取_sound-juicer,SoundCapture_sound-juicer,音樂擷取_sound-juicer,可以從音樂光碟中擷取音樂的小工具,音樂擷取_sound-juicer,AudioVideo;
qdvdauthor.desktop,光碟製作_QDVDAuthor,DVD 光碟及選單製作工具 ,光碟製作_QDVDAuthor,光盘制作_QDVDAuthor,DVD光盘及选单制作工具,光盘制作_QDVDAuthor,DVDCreator_QDVDAuthor,光碟製作_QDVDAuthor,DVD 光碟及選單製作工具 ,光碟製作_QDVDAuthor,AudioVideo;
devede.desktop,影音轉檔_DeVeDe,能將任何格式的影片轉為 DVD 影片,影音轉檔_DeVeDe,影音转档_DeVeDe,能将任何格式的影片转为DVD影片,影音转档_DeVeDe,AVConverter_DeVeDe,影音轉檔_DeVeDe,能將任何格式的影片轉為 DVD 影片,影音轉檔_DeVeDe,AudioVideo;
oggconvert.desktop,影音轉檔_OggConvert,小巧實用的多媒體影音轉換工具,影音轉檔_OggConvert,影音转档_OggConvert,小巧实用的多媒体影音转换工具,影音转档_OggConvert,AVConverter_OggConvert,影音轉檔_OggConvert,小巧實用的多媒體影音轉換工具,影音轉檔_OggConvert,AudioVideo;
furiusisomount.desktop,虛擬光碟_Furius ISO Mount,簡單好用的光碟映像檔掛載工具 ,虛擬光碟_Furius ISO Mount,虚拟光盘_FuriusISOMount,简单好用的光盘映像档挂载工具,虚拟光盘_FuriusISOMount,ISOMount_Furius ISO Mount,虛擬光碟_Furius ISO Mount,簡單好用的光碟映像檔掛載工具 ,虛擬光碟_Furius ISO Mount,AudioVideo;
#網路,,,,,,,,,,,
sylpheed.desktop,電子郵件_Sylpheed,用於收發電子郵件的軟體,電子郵件_Sylpheed,电子邮件_Sylpheed,用于收发电子邮件的软件,电子邮件_Sylpheed,EmailClient_Sylpheed,電子郵件_Sylpheed,用於收發電子郵件的軟體,電子郵件_Sylpheed,Network;
nixnote.desktop,筆記本_Nixnote,EverNote 的 Linux 客戶端軟體,筆記本_Nixnote,笔记本_Nixnote,EverNote的Linux客户端软件,笔记本_Nixnote,NoteBook_Nixnote,筆記本_Nixnote,EverNote 的 Linux 客戶端軟體,筆記本_Nixnote,Network;
nixnote2.desktop,筆記本_Nixnote,EverNote 的 Linux 客戶端軟體,筆記本_Nixnote,笔记本_Nixnote,EverNote的Linux客户端软件,笔记本_Nixnote,NoteBook_Nixnote,筆記本_Nixnote,EverNote 的 Linux 客戶端軟體,筆記本_Nixnote,Network;
exe.desktop,網頁設計_eXe,輔助老師們編寫網路課程的軟體,網頁設計_eXe,网页设计_eXe,辅助老师们编写网络课程的软件,网页设计_eXe,WebpageDesign_eXe,網頁設計_eXe,輔助老師們編寫網路課程的軟體,網頁設計_eXe,Network;
quassel.desktop,IRC 通訊_Quassel,KDE 裡的 IRC 客戶端程式,IRC 通訊_Quassel,IRC通讯_Quassel,KDE里的IRC客戶端程式,IRC通讯_Quassel,IRCClient_Quassel,IRC 通訊_Quassel,KDE 裡的 IRC 客戶端程式,IRC 通訊_Quassel,Network;
